ID,Deputados,Órgãos,Votações
10214,"73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10215,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10216,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10217,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10218,"73487, 73888, 73896, 74192",180,Nenhuma votação
10219,"73475, 73487, 73888, 73896, 74192",180,Nenhuma votação
932,"72553, 73471, 73490, 73555, 73560, 73564, 73666, 73674, 73765, 74076, 74090, 74094, 74187, 74305, 74308, 74347, 74351, 74362, 74363, 74451, 74462, 74554, 74560, 74561, 74680, 74703, 74705, 74788, 74794, 74811, 74861",535338,Nenhuma votação
10220,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10221,"73475, 73487, 73532, 73888, 73896, 74199, 74646",180,Nenhuma votação
10222,"73475, 73487, 73532, 73888, 73896, 74199, 74646",180,Nenhuma votação
10223,"73475, 73487, 73532, 73888, 73896",180,Nenhuma votação
10224,"73475, 73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10225,"73475, 73487, 73532, 73888, 73896, 74199, 74646",180,Nenhuma votação
10226,"73475, 73487, 73532, 73888, 73896, 74646",180,Nenhuma votação
10227,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10228,"73475, 73487, 73532, 73888, 73896",180,Nenhuma votação
10229,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10230,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10231,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10232,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10233,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
788,"73422, 73582, 73792, 73979, 73981, 74069, 74189, 74225, 74240, 74341, 74347, 74363, 74650, 74678, 74679, 74680, 74813, 74850",5335,Nenhuma votação
10234,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10235,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10236,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10237,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10238,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10239,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10240,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10241,"73475, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10242,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10243,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10244,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10245,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10246,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10247,"73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10248,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10249,"73475, 73487, 73532, 73888, 73896, 74192, 74646",180,Nenhuma votação
10250,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10251,"73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10252,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10253,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10254,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10255,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10256,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10257,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10258,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10259,"73470, 73475, 73487, 73532, 73888, 73896, 74192",180,Nenhuma votação
10260,"73532, 73888, 73896, 74192",180,Nenhuma votação
10261,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10262,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
795,"73427, 73432, 73447, 73456, 73778, 73897, 74095, 74198, 74318, 74321, 74347, 74408, 74416, 74449, 74472, 74538, 74572, 74573, 74575, 74647, 74657, 74667, 74668, 74671, 74674, 74683, 74693, 74696, 74697, 74700, 74701, 74704, 74758, 74759, 74763, 74785, 74788, 74793, 74860, 74861",5296,Nenhuma votação
10263,"73475, 73487, 73888, 73896, 74192, 74199",180,Nenhuma votação
10264,"73475, 73487, 73888, 73896, 74192, 74646",180,Nenhuma votação
10265,"73475, 73487, 73888, 73896, 74192",180,Nenhuma votação
10266,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10267,"73475, 73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10268,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10269,"73475, 73487, 73532, 73888, 73896, 74192, 74199",180,Nenhuma votação
10270,"73475, 73487, 73532, 73888, 74192, 74199",180,Nenhuma votação
10271,"73475, 73487, 73532, 73888, 73896, 74192, 74199, 74646",180,Nenhuma votação
10272,"73475, 73487, 73532, 73896, 74192, 74199, 74646",180,Nenhuma votação
10273,"73475, 73487, 73532, 73888, 73896, 74646",180,Nenhuma votação
10274,"73475, 73487, 73532, 73888, 73896, 74646",180,Nenhuma votação
10275,"73475, 73487, 73532, 73888, 73896, 74646",180,Nenhuma votação
10276,"73475, 73487, 73532, 73888, 73896",180,Nenhuma votação
10277,"73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10278,"73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10279,"73487, 73532, 73888, 73896, 74199",180,Nenhuma votação
10280,"73475, 73487, 73532, 73888, 73896, 74199, 74646",180,Nenhuma votação
