ID,autores,relacionadas,votacoes,codTipoAutor
12742,['Cunha Bueno'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12742/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12742/votacoes'}]}",Erro 404
12743,['Simão Sessim'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12743/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12743/votacoes'}]}",Erro 404
12744,['Rubens Bueno'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12744/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12744/votacoes'}]}",Erro 404
12745,['Vanessa Grazziotin'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12745/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12745/votacoes'}]}",Erro 404
12749,['COMISSÃO EXTERNA DESABRIGADOS CHUVAS JOÃO PESSOA'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12749/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12749/votacoes'}]}",Erro 404
12750,['Ronaldo Vasconcellos'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12750/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12750/votacoes'}]}",Erro 404
12751,['Ricardo Ferraço'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12751/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12751/votacoes'}]}",Erro 404
12752,['Fernando Coruja'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12752/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12752/votacoes'}]}",Erro 404
12753,['Fernando Coruja'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12753/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12753/votacoes'}]}",Erro 404
12666,['Gastão Vieira'],"{'dados': [{'id': 82243, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/82243', 'siglaTipo': 'PRL', 'codTipo': '190', 'numero': '1', 'ano': '0', 'ementa': 'Parecer do Relator, Dep. Ney Lopes, pela constitucionalidade da licença requerida por Deputado Federal par exercer o cargo de Secretário de Estado Extraordinário ainda que tenha que responder pela Gerência de Estado ou Gerência de Desenvolvimento Regional.'}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12666/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12666/votacoes'}]}",Erro 404
12669,['Walter Pinheiro'],"{'dados': [{'id': 336728, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/336728', 'siglaTipo': 'PAR', 'codTipo': '187', 'numero': '1', 'ano': '0', 'ementa': ''}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12669/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12669/votacoes'}]}",Erro 404
12671,['PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS'],"{'dados': [{'id': 82245, 'uri': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/82245', 'siglaTipo': 'PRL', 'codTipo': '190', 'numero': '1', 'ano': '0', 'ementa': 'Parecer do Relator, Dep. Bonifácio de Andrada, pela Regimentalidade, tendo em vista que não há usurpação da faculdade do autor da proposição para representar junto ao Procurador-Geral da República.'}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12671/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12671/votacoes'}]}",Erro 404
12712,['Luciano Pizzatto'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12712/relacionadas'}]}","{'dados': [{'id': '12712-7', 'uri': 'https://dadosabertos.camara.leg.br/api/v2/votacoes/12712-7', 'data': '1995-11-01', 'dataHoraRegistro': None, 'siglaOrgao': 'CDC', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2004', 'uriEvento': None, 'proposicaoObjeto': 'INC 316/1995', 'uriProposicaoObjeto': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12712', 'descricao': 'APROVAÇÃO UNANIME DO PARECER PRELIMINAR DO RELATOR, DEP\r\nGILNEY VIANA, PELO ENCAMINHAMENTO DESTE A FUNAI, NO\r\nSENTIDO DE QUE SE REGISTRE NOS AUTOS O SEU\r\nPOSICIONAMENTO TECNICO REFERENTE A QUESTÃO.', 'aprovacao': 1}], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12712/votacoes'}]}",Erro 404
12713,['Edison Andrino'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12713/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12713/votacoes'}]}",Erro 404
12742,['Cunha Bueno'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12742/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12742/votacoes'}]}",Erro 404
12743,['Simão Sessim'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12743/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12743/votacoes'}]}",Erro 404
12744,['Rubens Bueno'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12744/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12744/votacoes'}]}",Erro 404
12750,['Ronaldo Vasconcellos'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12750/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12750/votacoes'}]}",Erro 404
12757,['Raimundo Gomes de Matos'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12757/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12757/votacoes'}]}",Erro 404
12761,['Ronaldo Vasconcellos'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12761/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12761/votacoes'}]}",Erro 404
12762,['Coriolano Sales'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12762/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12762/votacoes'}]}",Erro 404
12763,"['Comissão de Defesa do Consumidor, Meio Ambiente e Minorias']","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12763/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12763/votacoes'}]}",Erro 404
12764,['Clementino Coelho'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12764/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12764/votacoes'}]}",Erro 404
12765,['Wellington Dias'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12765/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12765/votacoes'}]}",Erro 404
12743,['Simão Sessim'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12743/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12743/votacoes'}]}",Erro 404
12750,['Ronaldo Vasconcellos'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12750/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12750/votacoes'}]}",Erro 404
12768,['José Aleksandro'],"{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12768/relacionadas'}]}","{'dados': [], 'links': [{'rel': 'self', 'href': 'https://dadosabertos.camara.leg.br/api/v2/proposicoes/12768/votacoes'}]}",Erro 404
